trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
35,created_stop_4,09:01:48,09:01:48,,3,,,,,
35,created_stop_5,09:03:35,09:03:35,,4,,,,,
36,created_stop_1,09:00:00,09:00:00,,0,,,,,
36,created_stop_2,09:02:26,09:02:26,,1,,,,,
36,created_stop_3,09:05:08,09:05:08,,2,,,,,
36,created_stop_4,09:06:48,09:06:48,,3,,,,,
36,created_stop_5,09:08:35,09:08:35,,4,,,,,
37,created_stop_1,09:05:00,09:05:00,,0,,,,,
37,created_stop_2,09:07:26,09:07:26,,1,,,,,
37,created_stop_3,09:10:08,09:10:08,,2,,,,,
37,created_stop_4,09:11:48,09:11:48,,3,,,,,
37,created_stop_5,09:13:35,09:13:35,,4,,,,,
38,created_stop_1,09:10:00,09:10:00,,0,,,,,
38,created_stop_2,09:12:26,09:12:26,,1,,,,,
38,created_stop_3,09:15:08,09:15:08,,2,,,,,
38,created_stop_4,09:16:48,09:16:48,,3,,,,,
38,created_stop_5,09:18:35,09:18:35,,4,,,,,
39,created_stop_1,09:15:00,09:15:00,,0,,,,,
39,created_stop_2,09:17:26,09:17:26,,1,,,,,
39,created_stop_3,09:20:08,09:20:08,,2,,,,,
39,created_stop_4,09:21:48,09:21:48,,3,,,,,
39,created_stop_5,09:23:35,09:23:35,,4,,,,,
40,created_stop_1,09:20:00,09:20:00,,0,,,,,
40,created_stop_2,09:22:26,09:22:26,,1,,,,,
40,created_stop_3,09:25:08,09:25:08,,2,,,,,
40,created_stop_4,09:26:48,09:26:48,,3,,,,,
40,created_stop_5,09:28:35,09:28:35,,4,,,,,
41,created_stop_1,09:25:00,09:25:00,,0,,,,,
41,created_stop_2,09:27:26,09:27:26,,1,,,,,
41,created_stop_3,09:30:08,09:30:08,,2,,,,,
41,created_stop_4,09:31:48,09:31:48,,3,,,,,
41,created_stop_5,09:33:35,09:33:35,,4,,,,,
42,created_stop_1,09:30:00,09:30:00,,0,,,,,
42,created_stop_2,09:32:26,09:32:26,,1,,,,,
42,created_stop_3,09:35:08,09:35:08,,2,,,,,
42,created_stop_4,09:36:48,09:36:48,,3,,,,,
42,created_stop_5,09:38:35,09:38:35,,4,,,,,
43,created_stop_1,09:35:00,09:35:00,,0,,,,,
43,created_stop_2,09:37:26,09:37:26,,1,,,,,
43,created_stop_3,09:40:08,09:40:08,,2,,,,,
43,created_stop_4,09:41:48,09:41:48,,3,,,,,
43,created_stop_5,09:43:35,09:43:35,,4,,,,,
44,created_stop_1,09:40:00,09:40:00,,0,,,,,
44,created_stop_2,09:42:26,09:42:26,,1,,,,,
44,created_stop_3,09:45:08,09:45:08,,2,,,,,
44,created_stop_4,09:46:48,09:46:48,,3,,,,,
44,created_stop_5,09:48:35,09:48:35,,4,,,,,
45,created_stop_1,09:45:00,09:45:00,,0,,,,,
45,created_stop_2,09:47:26,09:47:26,,1,,,,,
45,created_stop_3,09:50:08,09:50:08,,2,,,,,
45,created_stop_4,09:51:48,09:51:48,,3,,,,,
45,created_stop_5,09:53:35,09:53:35,,4,,,,,
46,created_stop_1,09:50:00,09:50:00,,0,,,,,
46,created_stop_2,09:52:26,09:52:26,,1,,,,,
46,created_stop_3,09:55:08,09:55:08,,2,,,,,
46,created_stop_4,09:56:48,09:56:48,,3,,,,,
46,created_stop_5,09:58:35,09:58:35,,4,,,,,
47,created_stop_1,09:55:00,09:55:00,,0,,,,,
47,created_stop_2,09:57:26,09:57:26,,1,,,,,
47,created_stop_3,10:00:08,10:00:08,,2,,,,,
47,created_stop_4,10:01:48,10:01:48,,3,,,,,
47,created_stop_5,10:03:35,10:03:35,,4,,,,,
48,created_stop_1,10:00:00,10:00:00,,0,,,,,
48,created_stop_2,10:02:26,10:02:26,,1,,,,,
48,created_stop_3,10:05:08,10:05:08,,2,,,,,
48,created_stop_4,10:06:48,10:06:48,,3,,,,,
48,created_stop_5,10:08:35,10:08:35,,4,,,,,
49,created_stop_1,10:05:00,10:05:00,,0,,,,,
49,created_stop_2,10:07:26,10:07:26,,1,,,,,
49,created_stop_3,10:10:08,10:10:08,,2,,,,,
49,created_stop_4,10:11:48,10:11:48,,3,,,,,
49,created_stop_5,10:13:35,10:13:35,,4,,,,,
50,created_stop_1,10:10:00,10:10:00,,0,,,,,
