shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled



nzl:south,1,52.4019164818404,4.9321049451828,0
nzl:south,2,52.4013306232028,4.93136465549469,82
nzl:south,3,52.4007627583839,4.93066728115082,79
nzl:south,4,52.4005451022075,4.93038564920425,31
nzl:south,5,52.4003274449573,4.9301415681839,29
nzl:south,6,52.4001425172771,4.92991894483566,26
nzl:south,7,52.3999526792062,4.9297097325325,25
nzl:south,8,52.3991360388808,4.92868781089783,114
nzl:south,9,52.3988283628543,4.92828279733658,44
nzl:south,10,52.398517411499,4.92788046598434,44
nzl:south,11,52.3982637390335,4.92755055427551,36
nzl:south,12,52.3980100651097,4.92723405361176,36
nzl:south,13,52.3977711193058,4.92694973945618,33
nzl:south,14,52.3975043495166,4.92664396762848,36
nzl:south,15,52.3972703108888,4.92638111114502,32
